origen_stop,dest_stop,lines
1625,1626,"['00410', '00330', '041B0', '041C0', '027B0']"
1626,1627,"['00410', '00330', '00161', '041B0', '041C0', '027B0']"
1627,1629,['00410']
1629,1628,['00410']
1628,1630,['00410']
1630,7348,['00410']
7348,3669,"['00410', '01021']"
3669,3671,"['00410', '01021']"
3671,3674,['00410']
3674,3675,"['00410', '041B0', '041C0']"
3675,3676,"['00410', '041B0']"
3676,5073,"['00410', '041B0']"
5073,5074,"['00410', '041B0']"
5074,4330,['00410']
4330,3679,"['00410', '041B0', '00430']"
3679,5075,"['00410', '041B0', '041X0']"
5075,5076,"['00410', '041B0']"
5076,3682,"['00410', '041B0', '041X0']"
3682,3864,"['00410', '041B0', '041X0']"
3864,3865,"['00410', '041B0', '041X0']"
3865,4910,['00410']
4910,4911,"['00410', '041C0', '041X0']"
4911,4913,['00410']
4913,4914,"['00410', '041C0', '041X0']"
4914,4915,"['00410', '041C0', '041X0']"
4915,4957,"['00410', '041C0', '041X0']"
4957,3672,['00410']
3672,6054,['00410']
6054,4912,['00410']
4260,4261,['00841']
4261,7271,['00841']
7271,4262,['00841']
4262,4263,['00841']
4263,4264,['00841']
4264,7296,['00841']
7296,4265,['00841']
4265,4266,['00841']
4266,4307,['00841']
4307,4308,['00841']
4308,4267,['00841']
4267,4268,['00841']
4268,4269,['00841']
4269,4270,['00841']
4270,4273,['00841']
4273,4274,['00841']
4274,4275,['00841']
4275,4276,['00841']
4276,4277,['00841']
4277,4279,['00841']
4279,4281,['00841']
4281,4282,['00841']
4282,4283,['00841']
4283,4284,"['00841', '084X1']"
4284,4285,['00841']
4285,4286,['00841']
4286,4287,['00841']
4287,4288,['00841']
4288,4295,['00841']
4295,4296,"['00841', '01841', '084X1']"
4296,4297,"['00841', '01841']"
4297,4299,"['00841', '01841']"
4299,4300,"['00841', '01841']"
4300,4301,"['00841', '01841']"
4301,4302,"['00841', '084X1']"
4302,4303,['00841']
4303,4304,"['00841', '01841']"
4304,4148,"['00841', '01841']"
4148,4149,"['00841', '01841']"
4149,3045,"['00841', '045A1', '01841']"
3045,4150,"['00841', '045A1', '01841']"
4150,4151,"['00841', '045A1', '01841']"
4151,4156,"['00841', '01841']"
4170,4153,"['00841', '084A1', '045A1', '01850']"
4153,4154,"['00841', '01451', '084A1', '045A1', '01850']"
4154,4416,"['00841', '01451', '084A1', '045A1', '01850']"
4416,4201,"['00841', '01451', '084A1', '045A1']"
4201,4202,"['00841', '01451', '084A1', '045A1']"
4202,4203,"['00841', '01451', '084A1', '045A1']"
4203,4204,"['00841', '084A1']"
4204,4205,"['00841', '01451', '045A1']"
4205,4206,"['00841', '01451', '045A1']"
4206,3140,"['00841', '01451', '084A1', '045A1']"
3140,3141,"['00841', '01451', '084A1']"
3141,3142,"['00841', '01451', '084A1']"
3142,3143,"['00841', '01451', '084A1']"
3143,3144,"['00841', '01451', '084A1', '01110', '01111']"
3144,5047,"['00841', '084A1']"
5047,3146,"['00841', '084A1']"
3146,3147,"['00841', '01451', '084A1']"
3147,3148,"['00841', '01451', '084A1']"
3148,3149,"['00841', '084A1']"
3149,3150,"['00841', '084A1']"
3150,3151,"['00841', '084A1']"
3151,3153,"['00841', '084A1']"
3153,3152,"['00841', '084A1']"
3152,2995,"['00841', '084A1']"
2995,3154,"['00841', '084A1']"
3154,3155,"['00841', '084A1']"
3155,3156,"['00841', '084A1']"
3156,3158,"['00841', '084A1']"
3158,3159,"['00841', '084A1']"
3159,3160,"['00841', '084A1']"
3160,3161,"['00841', '084A1']"
3161,3162,"['00841', '084A1', '00041']"
3162,3163,"['00841', '084A1', '00041']"
3163,3164,"['00841', '084A1', '00041']"
3164,7653,"['00841', '084A1']"
7653,7188,['00841']
7188,5136,['00841']
5136,4271,['00841']
4271,4278,['00841']
4278,4280,['00841']
4280,5135,['00841']
2353,4643,['00271']
4643,4644,['00271']
4644,4645,['00271']
4645,4440,['00271']
4440,2628,['00271']
2628,2629,['00271']
2629,6095,['00271']
6095,7062,['00271']
7062,2631,['00271']
2631,2359,"['00271', '056A0']"
2359,2360,"['00271', '077A1', '056A0', '00651', '054A1']"
2360,4348,"['00271', '077A1', '00651', '054A1']"
4348,4646,"['00271', '00750', '077A1', '00651', '00761', '076A1', '054A1']"
4646,2346,['00271']
